biz_month,cpi,cpi_food,ppi,ppirm,energy_price_index,non-manufacturing_pmi,m2_ratio,credit_ratio,social finance_ratio
2002-04,-1.30 ,-2.00 ,-3.06 ,-3.79 ,,,14.10 ,29.52,
2002-05,-1.10 ,-1.50 ,-2.63 ,-2.85 ,,,14.00 ,29.22,
2002-06,-0.80 ,-0.20 ,-2.50 ,-2.81 ,,,14.70 ,31.67,
2002-07,-0.90 ,-0.90 ,-2.30 ,-2.49 ,,,14.40 ,30.24,
2002-08,-0.70 ,-0.40 ,-1.70 ,-2.00 ,,,15.50 ,29.27,
2002-09,-0.70 ,-0.20 ,-1.40 ,-1.16 ,,,16.50 ,31.00,
2002-10,-0.80 ,-0.50 ,-1.00 ,-0.56 ,,,17.00 ,30.81,
2002-11,-0.70 ,-0.10 ,-0.40 ,0.53 ,,,16.60 ,31.13,
2002-12,-0.40 ,0.50 ,0.40 ,1.34 ,,,16.78 ,29.78,
2003-01,0.40 ,2.40 ,2.40 ,3.20 ,,,19.30 ,16.77,
2003-02,0.20 ,1.80 ,4.00 ,4.78 ,,,18.10 ,16.53,
2003-03,0.90 ,3.20 ,4.60 ,5.80 ,,,18.54 ,16.64,
2003-04,1.00 ,3.20 ,3.60 ,5.93 ,,,19.20 ,17.52,
2003-05,0.70 ,1.90 ,2.00 ,4.36 ,,,20.20 ,18.56,
2003-06,0.30 ,0.40 ,1.30 ,3.88 ,,,20.83 ,19.67,
2003-07,0.50 ,1.00 ,1.40 ,4.00 ,,,20.70 ,19.72,
2003-08,0.90 ,2.20 ,1.40 ,4.00 ,,,21.55 ,20.83,
2003-09,1.10 ,3.20 ,1.40 ,4.10 ,,,20.67 ,20.56,
2003-10,1.80 ,5.10 ,1.20 ,4.60 ,,,20.97 ,20.28,
2003-11,3.00 ,8.10 ,1.90 ,5.85 ,,,20.37 ,19.45,
2003-12,3.20 ,8.60 ,3.00 ,7.05 ,,,19.60 ,19.50,
2004-01,3.20 ,8.00 ,3.50 ,7.44 ,,,18.10 ,18.20,
2004-02,2.10 ,5.60 ,3.50 ,8.10 ,,,19.40 ,18.17,
2004-03,3.00 ,7.90 ,4.00 ,9.45 ,,,19.10 ,17.83,
2004-04,3.80 ,10.20 ,5.00 ,10.49 ,,,19.10 ,17.78,
2004-05,4.40 ,11.80 ,5.70 ,11.23 ,,,17.50 ,15.78,
2004-06,5.00 ,14.00 ,6.40 ,11.82 ,,,16.20 ,12.20,
2004-07,5.30 ,14.60 ,6.40 ,11.97 ,,,15.30 ,11.00,
2004-08,5.30 ,13.90 ,6.80 ,12.86 ,,,13.63 ,9.32,
2004-09,5.20 ,13.00 ,7.90 ,13.67 ,,,13.94 ,9.59,
2004-10,4.30 ,10.00 ,8.40 ,14.24 ,,,13.45 ,9.01,
2004-11,2.80 ,5.90 ,8.10 ,13.66 ,,,14.00 ,9.55,
2004-12,2.40 ,4.90 ,7.10 ,12.03 ,,,14.60 ,8.79,
2005-01,1.90 ,4.00 ,5.80 ,10.74 ,,,14.13 ,9.46,
2005-02,3.90 ,8.80 ,5.38 ,9.76 ,,,13.90 ,9.00,
2005-03,2.70 ,5.60 ,5.60 ,9.70 ,,,14.00 ,8.81,
2005-04,1.80 ,3.10 ,5.78 ,9.85 ,,,14.10 ,8.06,
2005-05,1.80 ,2.80 ,5.90 ,9.99 ,,,14.60 ,8.21,
2005-06,1.60 ,2.10 ,5.20 ,9.00 ,,,15.67 ,10.21,
2005-07,1.80 ,2.30 ,5.20 ,8.46 ,,,16.30 ,10.88,
2005-08,1.30 ,0.90 ,5.30 ,8.08 ,,,17.34 ,11.63,
2005-09,0.90 ,0.30 ,4.50 ,7.10 ,,,17.92 ,11.38,
2005-10,1.20 ,1.30 ,4.00 ,6.50 ,,,17.99 ,11.23,
2005-11,1.30 ,1.60 ,3.20 ,5.40 ,,,18.30 ,11.48,
2005-12,1.60 ,2.20 ,3.20 ,5.00 ,,,17.57 ,10.67,
2006-01,1.90 ,3.60 ,3.05 ,6.40 ,,,19.21 ,12.98,
2006-02,0.90 ,1.20 ,3.01 ,6.80 ,,,18.80 ,13.65,
2006-03,0.80 ,0.80 ,2.49 ,6.18 ,,,18.80 ,13.93,
2006-04,1.20 ,1.80 ,1.87 ,4.90 ,,,18.90 ,14.46,
2006-05,1.40 ,1.90 ,2.43 ,5.50 ,,,19.10 ,15.86,
2006-06,1.50 ,2.10 ,3.52 ,6.60 ,99.39 ,,18.43 ,15.05,
2006-07,1.00 ,0.60 ,3.58 ,6.65 ,100.94 ,,18.40 ,14.67,
2006-08,1.30 ,1.40 ,3.40 ,6.70 ,105.28 ,,17.90 ,14.52,
2006-09,1.50 ,2.40 ,3.50 ,6.90 ,97.93 ,,16.83 ,13.87,
2006-10,1.40 ,2.20 ,2.90 ,5.60 ,90.19 ,,17.10 ,14.50,
2006-11,1.90 ,3.70 ,2.78 ,4.80 ,87.63 ,,16.80 ,14.75,
2006-12,2.80 ,6.30 ,3.10 ,5.00 ,93.87 ,,16.94 ,16.25,
2007-01,2.20 ,5.00 ,3.30 ,4.70 ,92.26 ,,15.93 ,13.89,
2007-02,2.70 ,6.00 ,2.60 ,3.99 ,89.40 ,,17.80 ,14.72,
2007-03,3.30 ,7.70 ,2.70 ,3.70 ,94.00 ,,17.30 ,14.49,
2007-04,3.00 ,7.10 ,2.90 ,3.70 ,99.20 ,,17.10 ,14.68,
2007-05,3.40 ,8.30 ,2.80 ,3.60 ,99.61 ,,16.74 ,13.96,
2007-06,4.40 ,11.30 ,2.49 ,3.39 ,99.75 ,,17.06 ,15.64,
2007-07,5.60 ,15.40 ,2.40 ,3.57 ,104.34 ,,18.50 ,16.18,
2007-08,6.50 ,18.20 ,2.60 ,3.82 ,107.21 ,,18.10 ,16.42,
2007-09,6.20 ,16.90 ,2.70 ,3.60 ,106.97 ,,18.45 ,17.26,
2007-10,6.50 ,17.60 ,3.20 ,4.50 ,112.63 ,,18.47 ,17.63,
2007-11,6.90 ,18.20 ,4.55 ,6.33 ,123.15 ,,18.45 ,17.16,
2007-12,6.50 ,16.70 ,5.43 ,8.06 ,122.90 ,,16.72 ,17.64,
2008-01,7.10 ,18.20 ,6.10 ,8.87 ,126.69 ,,18.94 ,18.19,
2008-02,8.70 ,23.30 ,6.62 ,9.67 ,124.70 ,,17.48 ,17.17,
2008-03,8.30 ,21.40 ,7.95 ,10.99 ,125.10 ,,16.29 ,15.57,
2008-04,8.50 ,22.10 ,8.12 ,11.82 ,127.59 ,,16.94 ,15.32,
2008-05,7.70 ,19.90 ,8.22 ,11.86 ,140.58 ,,18.07 ,14.99,
2008-06,7.10 ,17.30 ,8.84 ,13.48 ,149.41 ,,17.37 ,12.85,
2008-07,6.30 ,14.40 ,10.03 ,15.39 ,160.27 ,,16.35 ,13.33,
2008-08,4.90 ,10.30 ,10.06 ,15.34 ,146.28 ,,16.00 ,12.47,
2008-09,4.60 ,9.70 ,9.13 ,13.96 ,135.68 ,,15.29 ,12.22,
2008-10,4.00 ,8.50 ,6.59 ,11.04 ,114.99 ,,15.02 ,11.84,
2008-11,2.40 ,5.90 ,1.99 ,4.70 ,91.17 ,,14.80 ,10.54,
2008-12,1.20 ,4.20 ,-1.14 ,-1.27 ,73.99 ,,17.82 ,11.69,
2009-01,1.00 ,4.20 ,-3.35 ,-5.28 ,69.71 ,,18.79 ,14.52,
2009-02,-1.60 ,-1.90 ,-4.47 ,-7.10 ,73.43 ,,20.48 ,16.83,
2009-03,-1.20 ,-0.70 ,-6.00 ,-8.90 ,74.47 ,,25.51 ,22.73,
2009-04,-1.50 ,-1.30 ,-6.60 ,-9.56 ,79.74 ,,25.89 ,23.84,
2009-05,-1.40 ,-0.60 ,-7.20 ,-10.37 ,83.34 ,,25.74 ,25.42,
2009-06,-1.70 ,-1.10 ,-7.80 ,-11.25 ,94.06 ,,28.46 ,29.28,
2009-07,-1.80 ,-1.20 ,-8.20 ,-11.68 ,92.34 ,,28.42 ,29.35,
2009-08,-1.20 ,0.50 ,-7.86 ,-11.37 ,96.60 ,,28.53 ,29.96,
2009-09,-0.80 ,1.50 ,-6.99 ,-10.11 ,96.17 ,,29.31 ,30.58,
2009-10,-0.50 ,1.60 ,-5.85 ,-8.39 ,95.76 ,,29.42 ,30.95,
2009-11,0.60 ,3.20 ,-2.08 ,-3.61 ,101.70 ,,29.74 ,33.38,
2009-12,1.90 ,5.30 ,1.70 ,3.02 ,103.35 ,,27.68 ,30.37,
2010-01,1.50 ,3.70 ,4.32 ,7.96 ,105.30 ,,25.98 ,27.37,
2010-02,2.70 ,6.20 ,5.39 ,10.26 ,102.30 ,,25.52 ,26.21,
2010-03,2.40 ,5.20 ,5.91 ,11.46 ,105.29 ,,22.50 ,21.85,
2010-04,2.80 ,5.90 ,6.81 ,11.99 ,111.87 ,,21.48 ,21.43,
2010-05,3.10 ,6.10 ,7.13 ,12.21 ,106.03 ,,21.00 ,20.42,
2010-06,2.90 ,5.70 ,6.41 ,10.80 ,103.56 ,,18.46 ,18.16,
2010-07,3.30 ,6.80 ,4.84 ,8.48 ,102.76 ,,17.60 ,17.52,
2010-08,3.50 ,7.50 ,4.32 ,7.47 ,105.06 ,,19.20 ,18.40,
2010-09,3.60 ,8.00 ,4.33 ,7.10 ,106.79 ,,18.96 ,18.12,
2010-10,4.40 ,10.10 ,5.04 ,8.09 ,111.91 ,,19.30 ,18.58,
2010-11,5.10 ,11.70 ,6.06 ,9.70 ,116.52 ,,19.50 ,18.13,
2010-12,4.60 ,9.60 ,5.93 ,9.47 ,121.91 ,,19.72 ,18.75,
2011-01,4.90 ,10.30 ,6.60 ,9.68 ,126.76 ,,17.20 ,18.03,
2011-02,4.94 ,11.00 ,7.23 ,10.38 ,130.22 ,,15.70 ,16.92,
2011-03,5.38 ,11.70 ,7.31 ,10.53 ,138.65 ,,16.60 ,17.28,
2011-04,5.34 ,11.50 ,6.82 ,10.42 ,147.78 ,,15.30 ,15.94,
2011-05,5.52 ,11.70 ,6.79 ,10.18 ,143.94 ,,15.10 ,16.12,
2011-06,6.36 ,14.40 ,7.12 ,10.55 ,142.76 ,,15.90 ,16.61,
2011-07,6.45 ,14.80 ,7.54 ,10.98 ,145.55 ,,14.70 ,15.61,
2011-08,6.15 ,13.40 ,7.25 ,10.63 ,143.61 ,,13.50 ,15.53,
2011-09,6.07 ,13.40 ,6.52 ,9.96 ,142.90 ,,13.00 ,15.67,
2011-10,5.50 ,11.90 ,5.00 ,8.04 ,142.03 ,,12.90 ,15.28,
2011-11,4.23 ,8.80 ,2.72 ,5.06 ,149.14 ,,12.70 ,16.18,
2011-12,4.07 ,9.10 ,1.69 ,3.45 ,147.64 ,,13.60 ,17.14,
2012-01,4.50 ,10.50 ,0.73 ,2.00 ,152.17 ,,12.40 ,16.32,
2012-02,3.20 ,6.20 ,0.03 ,0.99 ,155.70 ,,13.00 ,16.88,
2012-03,3.60 ,7.50 ,-0.32 ,0.12 ,161.43 ,52.20 ,13.40 ,18.16,
2012-04,3.40 ,7.00 ,-0.70 ,-0.81 ,160.16 ,50.10 ,12.80 ,17.68,
2012-05,3.00 ,6.40 ,-1.40 ,-1.55 ,153.51 ,48.20 ,13.20 ,17.74,
2012-06,2.20 ,3.80 ,-2.08 ,-2.52 ,139.12 ,48.60 ,13.60 ,18.40,
2012-07,1.80 ,2.40 ,-2.87 ,-3.45 ,134.61 ,49.00 ,13.90 ,18.59,
2012-08,2.00 ,3.40 ,-3.48 ,-4.10 ,136.48 ,51.70 ,13.50 ,18.19,
2012-09,1.90 ,2.50 ,-3.55 ,-4.10 ,133.62 ,51.40 ,14.80 ,19.31,
2012-10,1.70 ,1.80 ,-2.76 ,-3.28 ,134.35 ,50.40 ,14.10 ,18.48,
2012-11,2.00 ,3.00 ,-2.20 ,-2.77 ,137.30 ,47.80 ,13.90 ,17.37,
2012-12,2.50 ,4.20 ,-1.94 ,-2.42 ,135.60 ,49.60 ,13.80 ,17.10,
2013-01,2.03 ,2.88 ,-1.64 ,-1.92 ,138.75 ,50.80 ,15.90 ,17.81,
2013-02,3.22 ,5.99 ,-1.63 ,-1.88 ,142.07 ,51.30 ,15.20 ,17.09,
2013-03,2.07 ,2.68 ,-1.92 ,-2.04 ,135.68 ,49.90 ,15.70 ,17.23,
2013-04,2.39 ,4.05 ,-2.62 ,-2.70 ,128.74 ,46.70 ,16.10 ,17.59,
2013-05,2.10 ,3.23 ,-2.87 ,-2.99 ,126.51 ,50.50 ,15.80 ,17.38,
2013-06,2.67 ,4.93 ,-2.70 ,-2.65 ,127.50 ,50.70 ,14.00 ,16.27,
2013-07,2.67 ,5.02 ,-2.27 ,-2.23 ,127.79 ,52.70 ,14.50 ,17.04,
2013-08,2.57 ,4.73 ,-1.62 ,-1.62 ,127.51 ,51.50 ,14.70 ,16.91,
2013-09,3.05 ,6.10 ,-1.34 ,-1.57 ,131.08 ,50.60 ,14.20 ,16.39,
2013-10,3.21 ,6.55 ,-1.51 ,-1.64 ,126.97 ,51.20 ,14.30 ,16.35,
2013-11,3.02 ,5.94 ,-1.42 ,-1.46 ,127.05 ,48.80 ,14.20 ,15.97,
2013-12,2.50 ,4.05 ,-1.36 ,-1.36 ,131.67 ,52.30 ,13.60 ,15.07,
2014-01,2.49 ,3.67 ,-1.64 ,-1.67 ,132.63 ,50.00 ,13.20 ,15.58,
2014-02,1.95 ,2.65 ,-2.00 ,-2.13 ,129.14 ,48.50 ,13.30 ,15.61,
2014-03,2.38 ,4.07 ,-2.30 ,-2.50 ,128.66 ,49.30 ,12.10 ,14.87,
2014-04,1.80 ,2.29 ,-2.00 ,-2.31 ,125.47 ,49.00 ,13.20 ,15.87,
2014-05,2.48 ,4.10 ,-1.45 ,-1.82 ,125.11 ,49.20 ,13.40 ,16.45,
2014-06,2.34 ,3.68 ,-1.11 ,-1.48 ,127.19 ,51.10 ,14.70 ,17.15,
2014-07,2.29 ,3.60 ,-0.87 ,-1.12 ,121.52 ,49.50 ,13.50 ,15.90,
2014-08,1.99 ,3.05 ,-1.20 ,-1.37 ,114.54 ,47.90 ,12.80 ,15.99,
2014-09,1.63 ,2.32 ,-1.80 ,-1.89 ,111.55 ,46.80 ,12.90 ,14.86,
2014-10,1.60 ,2.50 ,-2.24 ,-2.53 ,104.76 ,48.40 ,12.60 ,15.22,
2014-11,1.44 ,2.31 ,-2.69 ,-3.16 ,99.89 ,47.10 ,12.30 ,15.79,
2014-12,1.51 ,2.86 ,-3.32 ,-3.99 ,87.92 ,46.90 ,12.20 ,16.18,
2015-01,0.76 ,1.11 ,-4.32 ,-5.16 ,75.39 ,46.40 ,10.80 ,16.19,
2015-02,1.43 ,2.37 ,-4.80 ,-5.85 ,81.77 ,51.50 ,12.50 ,17.35,
2015-03,1.38 ,2.33 ,-4.56 ,-5.68 ,77.85 ,48.20 ,11.60 ,16.89,
2015-04,1.51 ,2.73 ,-4.57 ,-5.54 ,80.22 ,49.00 ,10.10 ,17.18,
2015-05,1.23 ,1.60 ,-4.61 ,-5.48 ,81.44 ,50.60 ,10.80 ,18.24,
2015-06,1.39 ,1.85 ,-4.81 ,-5.58 ,78.52 ,48.60 ,11.80 ,17.99,
2015-07,1.65 ,2.73 ,-5.37 ,-6.07 ,72.86 ,46.80 ,13.30 ,21.56,
2015-08,1.96 ,3.68 ,-5.92 ,-6.60 ,64.56 ,47.30 ,13.30 ,21.55,
2015-09,1.60 ,2.72 ,-5.95 ,-6.84 ,64.57 ,47.90 ,13.10 ,21.58,
2015-10,1.27 ,1.94 ,-5.90 ,-6.90 ,64.48 ,48.60 ,13.50 ,24.00,
2015-11,1.49 ,2.32 ,-5.90 ,-6.90 ,59.85 ,47.40 ,13.70 ,24.49,
2015-12,1.60 ,2.70 ,-5.90 ,-6.80 ,54.71 ,47.90 ,13.30 ,23.75,
2016-01,1.80 ,4.10 ,-5.30 ,-6.30 ,48.81 ,47.40 ,14.00 ,25.67,13.10 
2016-02,2.30 ,7.30 ,-4.90 ,-5.80 ,50.67 ,48.10 ,13.30 ,25.10,12.70 
2016-03,2.30 ,7.60 ,-4.30 ,-5.20 ,57.55 ,49.20 ,13.40 ,25.40,13.40 
2016-04,2.33 ,7.40 ,-3.40 ,-4.40 ,61.16 ,48.60 ,12.80 ,25.04,13.10 
2016-05,2.04 ,5.90 ,-2.80 ,-3.80 ,70.54 ,49.50 ,11.80 ,24.55,12.60 
2016-06,1.88 ,4.60 ,-2.60 ,-3.40 ,70.33 ,50.40 ,11.80 ,24.70,12.40 
2016-07,1.77 ,3.30 ,-1.70 ,-2.60 ,67.20 ,49.50 ,10.20 ,22.80,12.20 
2016-08,1.34 ,1.30 ,-0.80 ,-1.70 ,72.96 ,50.50 ,11.40 ,23.22,12.30 
2016-09,1.92 ,3.20 ,0.10 ,-0.60 ,78.73 ,50.00 ,11.50 ,22.98,12.50 
2016-10,2.10 ,3.70 ,1.20 ,0.90 ,85.29 ,51.30 ,11.60 ,21.45,12.70 
2016-11,2.25 ,4.00 ,3.30 ,3.50 ,85.49 ,51.10 ,11.40 ,21.25,13.30 
2016-12,2.08 ,2.40 ,5.50 ,6.30 ,97.64 ,51.40 ,11.30 ,20.06,12.80 
2017-01,2.55 ,2.70 ,6.90 ,8.40 ,98.25 ,50.60 ,10.70 ,17.92,16.41 
2017-02,0.80 ,-4.30 ,7.80 ,9.90 ,97.42 ,51.10 ,10.40 ,17.08,16.38 
2017-03,0.90 ,-4.40 ,7.60 ,10.00 ,93.03 ,48.90 ,10.10 ,15.82,15.71 
2017-04,1.20 ,-3.50 ,6.40 ,9.00 ,94.88 ,49.70 ,9.80 ,15.46,15.50 
2017-05,1.50 ,-1.60 ,5.50 ,8.00 ,91.90 ,48.10 ,9.10 ,14.07,15.50 
2017-06,1.50 ,-1.20 ,5.50 ,7.30 ,87.45 ,48.80 ,9.10 ,13.72,14.92 
2017-07,1.40 ,-1.10 ,5.50 ,7.00 ,90.42 ,50.60 ,8.90 ,13.25,15.54 
2017-08,1.80 ,-0.20 ,6.30 ,7.70 ,94.12 ,51.00 ,8.60 ,13.07,15.11 
2017-09,1.60 ,-1.40 ,6.90 ,8.50 ,99.86 ,51.00 ,9.00 ,12.73,14.89 
2017-10,1.90 ,-0.40 ,6.90 ,8.40 ,104.03 ,51.10 ,8.90 ,11.98,14.96 
2017-11,1.70 ,-1.10 ,5.80 ,7.10 ,108.03 ,52.50 ,9.10 ,11.49,14.49 
2017-12,1.80 ,-0.40 ,4.90 ,5.90 ,111.00 ,52.00 ,8.10 ,11.26,14.08 
2018-01,1.50 ,-0.50 ,4.30 ,5.20 ,116.52 ,52.50 ,8.60 ,11.99,13.43 
2018-02,2.90 ,4.40 ,3.70 ,4.40 ,116.12 ,49.60 ,8.80 ,12.04,13.39 
2018-03,2.10 ,2.10 ,3.10 ,3.70 ,116.29 ,48.90 ,8.20 ,11.58,12.69 
2018-04,1.80 ,0.70 ,3.40 ,3.70 ,120.44 ,50.60 ,8.30 ,11.04,12.65 
2018-05,1.80 ,0.10 ,4.10 ,4.30 ,125.93 ,50.20 ,8.30 ,10.78,12.20 
2018-06,1.90 ,0.30 ,4.70 ,5.10 ,129.17 ,50.50 ,8.00 ,10.10,11.76 
2018-07,2.10 ,0.50 ,4.60 ,5.20 ,125.76 ,51.60 ,8.50 ,10.63,11.49 
2018-08,2.30 ,1.70 ,4.10 ,4.80 ,123.77 ,50.30 ,8.20 ,10.35,11.52 
2018-09,2.50 ,3.60 ,3.60 ,4.20 ,130.31 ,51.00 ,8.30 ,10.73,11.21 
2018-10,2.50 ,3.30 ,3.30 ,4.00 ,131.72 ,50.70 ,8.00 ,10.89,10.79 
2018-11,2.20 ,2.50 ,2.70 ,3.30 ,117.80 ,48.80 ,8.00 ,10.62,10.31 
2018-12,1.90 ,2.50 ,0.90 ,1.60 ,103.94 ,47.30 ,8.10 ,10.40,10.26 
2019-01,1.70 ,1.90 ,0.10 ,0.20 ,104.02 ,49.40 ,8.40 ,10.53,10.85 
2019-02,1.50 ,0.70 ,0.10 ,-0.10 ,112.08 ,49.80 ,8.00 ,10.02,10.65 
2019-03,2.30 ,4.10 ,0.40 ,0.20 ,116.44 ,50.60 ,8.60 ,10.72,11.16 
2019-04,2.50 ,6.10 ,0.90 ,0.40 ,121.05 ,50.10 ,8.50 ,10.75,10.81 
2019-05,2.70 ,7.70 ,0.60 ,0.20 ,119.75 ,49.50 ,8.50 ,10.94,11.03 
2019-06,2.70 ,8.30 ,0.00 ,-0.30 ,110.93 ,49.10 ,8.50 ,10.77,11.19 
2019-07,2.80 ,9.10 ,-0.30 ,-0.60 ,112.19 ,50.50 ,8.10 ,10.08,10.85 
2019-08,2.80 ,10.00 ,-0.80 ,-1.30 ,,48.70 ,8.20 ,10.37,10.68 
2019-09,3.00 ,11.20 ,-1.20 ,-1.70 ,109.95 ,49.80 ,8.40 ,10.21,10.67 
2019-10,3.80 ,15.50 ,-1.60 ,-2.10 ,109.32 ,48.40 ,8.40 ,9.98,10.58 
2019-11,4.50 ,19.10 ,-1.40 ,-2.20 ,112.94 ,51.10 ,8.20 ,10.23,10.67 
2019-12,4.50 ,17.40 ,-0.50 ,-1.30 ,117.06 ,49.90 ,8.70 ,10.55,10.69 
2020-01,5.40 ,20.60 ,0.10 ,-0.30 ,120.56 ,50.20 ,8.40 ,10.25,10.70 
2020-02,5.20 ,21.90 ,-0.40 ,-0.50 ,108.23 ,42.70 ,8.80 ,11.00,10.70 
2020-03,4.30 ,18.30 ,-1.50 ,-1.60 ,83.53 ,44.90 ,10.10 ,12.23,11.50 
2020-04,3.30 ,14.80 ,-3.10 ,-3.80 ,64.74 ,44.60 ,11.10 ,13.47,12.00 
2020-05,2.40 ,10.60 ,-3.70 ,-5.00 ,70.28 ,47.60 ,11.10 ,13.51,12.50 
2020-06,2.50 ,11.10 ,-3.00 ,-4.40 ,86.90 ,49.10 ,11.10 ,13.34,12.80 
2020-07,2.70 ,13.20 ,-2.40 ,-3.30 ,92.72 ,49.90 ,10.70 ,13.49,12.90 
2020-08,2.40 ,11.20 ,-2.00 ,-2.50 ,95.80 ,49.80 ,10.40 ,13.03,13.30 
2020-09,1.70 ,7.90 ,-2.10 ,-2.30 ,91.70 ,48.50 ,10.90 ,13.29,13.50 
2020-10,0.50 ,2.20 ,-2.10 ,-2.40 ,91.69 ,48.90 ,10.50 ,12.87,13.70 
2020-11,-0.50 ,-2.00 ,-1.50 ,-1.60 ,95.54 ,50.90 ,10.70 ,12.80,13.60 
2020-12,0.20 ,1.20 ,-0.40 ,0.00 ,105.86 ,52.00 ,10.10 ,12.30,13.30 
2021-01,-0.30 ,1.60 ,0.30 ,0.90 ,113.37 ,51.10 ,9.40 ,11.16,13.00 
2021-02,-0.20 ,-0.20 ,1.70 ,2.40 ,124.85 ,49.70 ,10.10 ,11.47,13.30
2021-03,0.40 ,-0.70 ,4.40 ,5.20 ,130.62 ,51.70 ,9.4,10.61,12.3
