biz_date,oil_dtd_spot,luowen_steel_future,gold_comex_future,csi300_index,
2000-04-26,,,277.1,,
2000-04-27,,,278.4,,
2000-04-28,,,274.7,,
2000-05-01,,,274.8,,
2000-05-02,,,277,,
2000-05-03,,,279.1,,
2000-05-04,,,281.2,,
2000-05-05,,,280.1,,
2000-05-08,,,277.6,,
2000-05-09,,,278.2,,
2000-05-10,,,278.7,,
2000-05-11,,,276.5,,
2000-05-12,,,276.9,,
2000-05-15,,,276.4,,
2000-05-16,,,276.2,,
2000-05-17,,,273.8,,
2000-05-18,,,273.7,,
2000-05-19,,,274.6,,
2000-05-22,,,276.2,,
2000-05-23,,,274.7,,
2000-05-24,,,273.8,,
2000-05-25,,,270.7,,
2000-05-26,,,272.2,,
2000-05-30,,,272.3,,
2000-05-31,,,274.8,,
2000-06-01,,,275.4,,
2000-06-02,,,284.2,,
2000-06-05,,,288.2,,
2000-06-06,,,291.8,,
2000-06-07,,,290,,
2000-06-08,,,286.8,,
2000-06-09,,,286.4,,
2000-06-12,,,289.1,,
2000-06-13,,,288.1,,
2000-06-14,,,294.2,,
2000-06-15,,,292.1,,
2000-06-16,,,291.2,,
2000-06-19,,,288,,
2000-06-20,,,288.1,,
2000-06-21,,,288.1,,
2000-06-22,,,287.2,,
2000-06-23,,,284.8,,
2000-06-26,,,285.5,,
2000-06-27,,,287.5,,
2000-06-28,,,294.3,,
2000-06-29,,,290.7,,
2000-06-30,,,291.5,,
2000-07-06,,,284.6,,
2000-07-07,,,284.6,,
2000-07-10,,,284.9,,
2000-07-11,,,283.3,,
2000-07-12,,,281.4,,
2000-07-13,,,280.9,,
2000-07-14,,,281.9,,
2000-07-17,,,284.2,,
2000-07-18,,,283.1,,
2000-07-19,,,279.6,,
2000-07-20,,,280.4,,
2000-07-21,,,280.6,,
2000-07-24,,,279.3,,
2000-07-25,,,279.3,,
2000-07-26,,,279.7,,
2000-07-27,,,278.6,,
2000-07-28,,,284.2,,
2000-07-31,,,283.2,,
2000-08-01,,,283.2,,
2000-08-02,,,282.8,,
2000-08-03,,,279.5,,
2000-08-04,,,278.6,,
2000-08-07,,,279.1,,
2000-08-08,,,278.7,,
2000-08-09,,,277.3,,
2000-08-10,,,277.6,,
2000-08-11,,,280.3,,
2000-08-14,,,279.6,,
2000-08-15,,,279.6,,
2000-08-16,,,282.3,,
2000-08-17,,,282.6,,
2000-08-18,,,281.7,,
2000-08-21,,,280,,
2000-08-22,,,278.3,,
2000-08-23,,,275.7,,
2000-08-24,,,277.5,,
2000-08-25,,,278.6,,
2000-08-28,,,278.5,,
2000-08-29,,,277.5,,
2000-08-30,,,278.2,,
2000-08-31,,,282.1,,
2000-09-01,,,280.9,,
2000-09-05,,,279.7,,
2000-09-06,,,277.9,,
2000-09-07,,,277.7,,
2000-09-08,,,276.8,,
2000-09-11,,,276.8,,
2000-09-12,,,276.6,,
2000-09-13,,,276.5,,
2000-09-14,,,276,,
2000-09-15,,,275.8,,
2000-09-18,,,274.9,,
2000-09-19,,,275.4,,
2000-09-20,,,272.5,,
2000-09-21,,,273.5,,
2000-09-22,,,275.1,,
2000-09-25,,,277.3,,
2000-09-26,,,277.3,,
2000-09-27,,,281.6,,
2000-09-28,,,278.9,,
2000-09-29,,,276.9,,
2000-10-02,,,276.3,,
2000-10-03,,,274.8,,
2000-10-04,,,273.2,,
2000-10-05,,,273.4,,
2000-10-06,,,272.1,,
2000-10-09,,,272.9,,
2000-10-10,,,275.1,,
2000-10-11,,,273,,
2000-10-12,,,278.8,,
2000-10-13,,,274.8,,
2000-10-16,,,273.9,,
2000-10-17,,,273.4,,
2000-10-18,,,272.6,,
2000-10-19,,,272.3,,
2000-10-20,,,273.3,,
2000-10-23,,,272,,
2000-10-24,,,272.1,,
2000-10-25,,,267.9,,
2000-10-26,,,266.6,,
2000-10-27,,,265.9,,
2000-10-30,,,265.8,,
2000-10-31,,,266.4,,
2000-11-01,,,265.4,,
2000-11-02,,,265.9,,
2000-11-03,,,266.1,,
2000-11-06,,,266,,
2000-11-07,,,265.4,,
2000-11-08,,,266.1,,
2000-11-09,,,266.9,,
2000-11-10,,,265.5,,
2000-11-13,,,265.3,,
2000-11-14,,,265.4,,
2000-11-15,,,265.6,,
2000-11-16,,,266.3,,
2000-11-17,,,266.2,,
2000-11-20,,,266.8,,
2000-11-21,,,266.1,,
2000-11-22,,,266.7,,
2000-11-28,,,271.2,,
2000-11-29,,,266.4,,
2000-11-30,,,273.3,,
2000-12-01,,,271.9,,
2000-12-04,,,273.8,,
2000-12-05,,,271.7,,
2000-12-06,,,277.3,,
2000-12-07,,,276.1,,
2000-12-08,,,273.6,,
2000-12-11,,,273.1,,
2000-12-12,,,273.2,,
2000-12-13,,,271.2,,
2000-12-14,,,271.5,,
2000-12-15,,,272.9,,
2000-12-18,,,272,,
2000-12-19,,,270.5,,
2000-12-20,,,274.7,,
2000-12-21,,,275.7,,
2000-12-22,,,275.5,,
2000-12-26,,,275.9,,
2000-12-27,,,275.2,,
2000-12-28,,,273.7,,
2000-12-29,,,272,,
2001-01-02,,,270,,
2001-01-03,,,269.3,,
2001-01-04,,,268.4,,
2001-01-05,,,268,,
2001-01-08,,,269,,
2001-01-09,,,268.5,,
2001-01-10,,,265.6,,
2001-01-11,,,264.8,,
2001-01-12,,,264.6,,
2001-01-16,,,263.9,,
2001-01-17,,,263.8,,
2001-01-18,,,264.8,,
2001-01-19,,,264.9,,
2001-01-22,,,267,,
2001-01-23,,,266.7,,
2001-01-24,,,264.6,,
2001-01-25,,,264.8,,
2001-01-26,,,262.9,,
2001-01-29,,,262.8,,
2001-01-30,,,268,,
2001-01-31,,,268,,
2001-02-01,,,270.7,,
2001-02-02,,,269.3,,
2001-02-05,,,267.4,,
2001-02-06,,,265.4,,
2001-02-07,,,264.9,,
2001-02-08,,,262.2,,
2001-02-09,,,262,,
2001-02-12,,,262.7,,
2001-02-13,,,262.2,,
2001-02-14,,,261.2,,
2001-02-15,,,256.9,,
2001-02-16,,,259.8,,
2001-02-20,,,257.6,,
2001-02-21,,,259.4,,
2001-02-22,,,259.8,,
2001-02-23,,,262.1,,
2001-02-26,,,266.8,,
2001-02-27,,,268.4,,
2001-02-28,,,267.8,,
2001-03-01,,,266.2,,
2001-03-02,,,263.1,,
2001-03-05,,,263.5,,
2001-03-06,,,260.9,,
2001-03-07,,,262.4,,
2001-03-08,,,266.1,,
2001-03-09,,,271.5,,
2001-03-12,,,272.3,,
2001-03-13,,,267.5,,
2001-03-14,,,262.9,,
2001-03-15,,,260.3,,
2001-03-16,,,258.4,,
2001-03-19,,,260.1,,
2001-03-20,,,260.8,,
2001-03-21,,,262.2,,
2001-03-22,,,261.4,,
2001-03-23,,,261.7,,
2001-03-26,,,262.1,,
2001-03-27,,,261.1,,
2001-03-28,,,259.7,,
2001-03-29,,,260.4,,
2001-03-30,,,259.2,,
2001-04-02,,,256.6,,
2001-04-03,,,257.9,,
2001-04-04,,,259.4,,
2001-04-05,,,259.1,,
2001-04-06,,,260.9,,
2001-04-09,,,259.2,,
2001-04-10,,,258.2,,
2001-04-11,,,259.6,,
2001-04-12,,,260.9,,
2001-04-16,,,264.1,,
2001-04-17,,,261.8,,
2001-04-18,,,262,,
2001-04-19,,,266,,
2001-04-20,,,265.4,,
2001-04-23,,,264.3,,
2001-04-24,,,264.7,,
2001-04-25,,,262.6,,
2001-04-26,,,264.5,,
2001-04-27,,,264.3,,
2001-04-30,,,264.4,,
2001-05-01,,,264.8,,
2001-05-02,,,265.8,,
2001-05-03,,,266.7,,
2001-05-04,,,266.5,,
2001-05-07,,,266.5,,
2001-05-08,,,265.5,,
2001-05-09,,,270.4,,
2001-05-10,,,269.5,,
2001-05-11,,,268.3,,
2001-05-14,,,268.7,,
2001-05-15,,,268.5,,
2001-05-16,,,272.4,,
2001-05-17,,,274,,
2001-05-18,,,287.8,,
2001-05-21,,,285.8,,
2001-05-22,,,285.5,,
2001-05-23,,,284,,
2001-05-24,,,279.4,,
2001-05-25,,,278.2,,
2001-05-29,,,273.9,,
2001-05-30,,,267.4,,
2001-05-31,,,266.9,,
2001-06-01,,,268,,
2001-06-04,,,266.5,,
2001-06-05,,,267.1,,
2001-06-06,,,267,,
2001-06-07,,,267.3,,
2001-06-08,,,274.5,,
2001-06-11,,,268.9,,
2001-06-12,,,272.6,,
2001-06-13,,,273.1,,
2001-06-14,,,276.4,,
2001-06-15,,,272.3,,
2001-06-18,,,273.4,,
2001-06-19,,,274.4,,
2001-06-20,,,273.4,,
2001-06-21,,,273.6,,
2001-06-22,,,273.3,,
2001-06-25,,,274.7,,
2001-06-26,,,277,,
2001-06-27,,,272.8,,
2001-06-28,,,270,,
2001-06-29,,,271.3,,
2001-07-02,,,270.1,,
2001-07-03,,,268.3,,
2001-07-05,,,265.8,,
2001-07-06,,,266.6,,
2001-07-09,,,267,,
2001-07-10,,,266.7,,
2001-07-11,,,268.8,,
2001-07-12,,,267.1,,
2001-07-13,,,267.6,,
2001-07-16,,,267.4,,
2001-07-17,,,268.6,,
2001-07-18,,,270.8,,
2001-07-19,,,269.7,,
2001-07-20,,,270.2,,
2001-07-23,,,269.1,,
2001-07-24,,,270,,
2001-07-25,,,267.8,,
2001-07-26,,,266.3,,
2001-07-27,,,267.4,,
2001-07-30,,,267.6,,
2001-07-31,,,269.2,,
2001-08-01,,,270.3,,
2001-08-02,,,270.3,,
2001-08-03,,,270.8,,
2001-08-06,,,269.9,,
2001-08-07,,,269.9,,
2001-08-08,,,270.7,,
2001-08-09,,,276.2,,
2001-08-10,,,276.8,,
2001-08-13,,,278.6,,
2001-08-14,,,279.1,,
2001-08-15,,,278.4,,
2001-08-16,,,277.9,,
2001-08-17,,,282,,
2001-08-20,,,278.6,,
2001-08-21,,,277.4,,
2001-08-22,,,277.3,,
2001-08-23,,,277.7,,
2001-08-24,,,274.9,,
2001-08-27,,,274.9,,
2001-08-28,,,274.4,,
2001-08-29,,,275.8,,
2001-08-30,,,277.5,,
2001-08-31,,,276.5,,
2001-09-04,,,273.7,,
2001-09-05,,,274.1,,
2001-09-06,,,275,,
2001-09-07,,,275.1,,
2001-09-10,,,273.7,,
2001-09-11,,,280,,
2001-09-17,,,293.4,,
2001-09-18,,,289.7,,
2001-09-19,,,292.3,,
2001-09-20,,,289.8,,
2001-09-21,,,292.9,,
2001-09-24,,,290.9,,
2001-09-25,,,291.8,,
2001-09-26,,,294.8,,
2001-09-27,,,293.2,,
2001-09-28,,,294,,
2001-10-01,,,293.7,,
2001-10-02,,,291.5,,
2001-10-03,,,290.8,,
2001-10-04,,,291.6,,
2001-10-05,,,292.5,,
2001-10-08,,,293.8,,
2001-10-09,,,290.7,,
2001-10-10,,,286.7,,
2001-10-11,,,282.6,,
2001-10-12,,,285.7,,
2001-10-15,,,282.7,,
2001-10-16,,,282.9,,
2001-10-17,,,284,,
2001-10-18,,,279.8,,
2001-10-19,,,280.7,,
2001-10-22,,,276.1,,
2001-10-23,,,276.5,,
2001-10-24,,,276.3,,
2001-10-25,,,278.2,,
2001-10-26,,,278.3,,
2001-10-29,,,279.7,,
2001-10-30,,,281.2,,
2001-10-31,,,280.5,,
2001-11-01,,,280.7,,
2001-11-02,,,280.8,,
2001-11-05,,,279.5,,
2001-11-06,,,280.2,,
2001-11-07,,,281.3,,
2001-11-08,,,277.1,,
2001-11-09,,,277.7,,
2001-11-12,,,278.6,,
2001-11-13,,,278,,
2001-11-14,,,278.4,,
2001-11-15,,,275.3,,
2001-11-16,,,274.9,,
2001-11-19,,,272.9,,
2001-11-20,,,273.2,,
2001-11-21,,,273.6,,
2001-11-27,,,273.9,,
2001-11-29,,,273.5,,
2001-11-30,,,274.9,,
2001-12-03,,,277.7,,
2001-12-04,,,276.3,,
2001-12-05,,,274.6,,
2001-12-06,,,274.8,,
2001-12-07,,,274.7,,
2001-12-10,,,273,,
2001-12-11,,,272.9,,
2001-12-12,,,274.5,,
2001-12-13,,,274.6,,
2001-12-14,,,278.6,,
2001-12-17,,,278.3,,
2001-12-18,,,280.6,,
2001-12-19,,,276,,
2001-12-20,,,276.5,,
2001-12-21,,,278.3,,
2001-12-26,20.25,,,,
2001-12-27,19.78,,277.4,,
2001-12-28,19.71,,276.8,,
2001-12-31,19.01,,279,,
2002-01-02,20.29,,278.9,,
2002-01-03,19.82,,278.5,,
2002-01-04,21.25,,279.2,1316.46,
2002-01-07,20.85,,278.9,1302.08,
2002-01-08,20.78,,278.9,1292.71,
2002-01-09,19.85,,283.7,1272.65,
2002-01-10,20.17,,287.4,1281.26,
2002-01-11,19.35,,288.1,1249.81,
2002-01-14,18.58,,285.7,1205.15,
2002-01-15,,,284.7,1186.43,
2002-01-16,18.71,,287.6,1201.88,
2002-01-17,18.02,,284.7,1152.15,
2002-01-18,18.05,,283.4,1149.48,
2002-01-21,18.56,,,1108.61,
2002-01-22,18.8,,281.8,1109.99,
2002-01-23,19.2,,278.9,1183.15,
2002-01-24,19.51,,278.4,1189.58,
2002-01-25,19.75,,279.1,1189.43,
2002-01-28,19.95,,278.5,1112.84,
2002-01-29,19.59,,281.4,1140.38,
2002-01-30,19.2,,282.3,1145.86,
2002-01-31,19.54,,282.9,1221.76,
2002-02-01,20.39,,286.8,1215.74,
2002-02-04,20.22,,290.1,1236.97,
2002-02-05,19.99,,299.1,1246.84,
2002-02-06,19.69,,298.3,1216.79,
2002-02-07,19.71,,300.6,1241.02,
2002-02-08,20.23,,304.4,1235.09,
2002-02-11,20.91,,300.8,,
2002-02-12,20.59,,301.3,,
2002-02-13,20.66,,300,,
2002-02-14,20.64,,300.2,,
2002-02-15,20.59,,298.9,,
2002-02-18,19.82,,,,
2002-02-19,19.68,,293.6,,
2002-02-20,19.37,,292.6,,
2002-02-21,19.84,,293.5,,
2002-02-22,19.84,,293.5,,
2002-02-25,19.63,,292.9,1254.61,
2002-02-26,20.61,,298.2,1253.12,
2002-02-27,20.49,,296.6,1256,
2002-02-28,21.06,,297.1,1244.6,
2002-03-01,21.5,,298.4,1227.23,
2002-03-04,21.56,,297.1,1245.87,
2002-03-05,22.25,,294.4,1275.61,
2002-03-06,22.15,,293.9,1288.44,
2002-03-07,22.62,,290.5,1328.39,
2002-03-08,22.93,,290.3,1351.85,
2002-03-11,23.42,,291.3,1377.04,
2002-03-12,23.35,,293.8,1362.4,
2002-03-13,23.34,,293.8,1343.14,
2002-03-14,23.93,,291.2,1376.33,
2002-03-15,23.88,,290.1,1338.72,
2002-03-18,24.36,,292.3,1341.91,
2002-03-19,24.37,,293,1368.38,
2002-03-20,23.99,,292.4,1382.42,
2002-03-21,25.14,,293.1,1385.79,
2002-03-22,25.01,,297.6,1369.9,
2002-03-25,24.95,,297.4,1373.01,
2002-03-26,24.99,,296.8,1350.01,
2002-03-27,25.13,,302.2,1354.1,
2002-03-28,25.71,,303.7,1352.53,
2002-03-29,,,,1313.47,
2002-04-01,26.02,,304.2,1317.58,
2002-04-02,26.93,,307,1296.57,
2002-04-03,26.74,,303.5,1302.25,
2002-04-04,26.2,,302,1337.73,
2002-04-05,25.92,,301,1332.2,
2002-04-08,26.17,,301.3,1333.71,
2002-04-09,24.73,,299.5,1357.74,
2002-04-10,24.62,,302.5,1366.72,
2002-04-11,23.77,,303,1344.73,
2002-04-12,22.56,,302.9,1350.69,
2002-04-15,23.35,,300.7,1344.58,
2002-04-16,24.14,,299.5,1341.5,
2002-04-17,25.17,,302.8,1341.77,
2002-04-18,25.66,,305.2,1326.55,
2002-04-19,25.99,,303,1330.64,
2002-04-22,26.21,,303.6,1324.87,
2002-04-23,26.58,,304.6,1318.66,
2002-04-24,25.86,,304.8,1309.73,
2002-04-25,26.51,,308.6,1312.48,
2002-04-26,26.87,,312.1,1331.71,
2002-04-29,27.33,,311.5,1349.79,
2002-04-30,27.24,,309.2,1353.61,
2002-05-01,25.56,,309.4,,
2002-05-02,26.56,,308.6,,
2002-05-03,26.3,,312.5,,
2002-05-06,25.81,,311.5,,
2002-05-07,25.85,,311.9,,
2002-05-08,26.27,,308.5,1342.29,
2002-05-09,26.07,,309.8,1344.78,
2002-05-10,26.44,,311.3,1335.45,
2002-05-13,26.67,,310.9,1319.81,
2002-05-14,27.07,,307.6,1311.68,
2002-05-15,25.8,,309,1300.12,
2002-05-16,25.77,,310.1,1261.52,
2002-05-17,25.45,,310.9,1277.24,
2002-05-20,25.04,,316,1258.83,
2002-05-21,24.1,,316.1,1298.88,
2002-05-22,24.28,,318.3,1280.16,
2002-05-23,24.25,,322.8,1284.84,
2002-05-24,24.21,,320.7,1265.97,
2002-05-27,24.3,,,1270.34,
2002-05-28,24.34,,324.1,1270.38,
2002-05-29,24.51,,325.5,1246.02,
2002-05-30,23.56,,326.7,1245.89,
2002-05-31,23.68,,327.5,1238.58,
2002-06-03,23.39,,327.7,1213.39,
2002-06-04,23.64,,328.8,1219.52,
2002-06-05,23.31,,322.1,1196.62,
2002-06-06,23.36,,325.8,1245.61,
2002-06-07,23.26,,325.4,1252.51,
2002-06-10,22.94,,319.5,1243.74,
2002-06-11,22.63,,320.5,1252.85,
2002-06-12,22.97,,321.1,1246.84,
2002-06-13,23.95,,318.5,1235.57,
2002-06-14,24.44,,319.8,1222.12,
2002-06-17,24.84,,318.1,1224.65,
2002-06-18,24.38,,319.7,1248.84,
2002-06-19,24.37,,320.3,1236.05,
2002-06-20,24.58,,323.7,1245.08,
2002-06-21,24.4,,325.1,1288.52,
2002-06-24,25.31,,324.7,1409.51,
2002-06-25,24.99,,320.5,1409.23,
2002-06-26,25.1,,320.8,1417.31,
2002-06-27,25.35,,319.6,1422.51,
2002-06-28,25.52,,313.9,1431.18,
2002-07-01,25.71,,314.4,1415.33,
2002-07-02,25.85,,313.2,1425.81,
2002-07-03,25.9,,311.3,1427.39,
2002-07-04,25.64,,,1412.62,
2002-07-05,25.83,,,1415.4,
2002-07-08,25.1,,,1423.7,
2002-07-09,25.27,,319.5,1419.47,
2002-07-10,25.76,,315.1,1392.9,
2002-07-11,25.75,,317.6,1390.93,
2002-07-12,26.24,,315.9,1389.45,
2002-07-15,25.88,,319.9,1379.38,
2002-07-16,26.36,,317.5,1382.41,
2002-07-17,26.78,,317.7,1393.02,
2002-07-18,26.58,,317.1,1397.41,
2002-07-19,26.73,,323.9,1403.25,
2002-07-22,25.56,,323.4,1380.28,
2002-07-23,25.15,,312.6,1375.61,
2002-07-24,25.53,,311.5,1372.89,
2002-07-25,25.44,,309.7,1365,
2002-07-26,25.28,,303.3,1361.41,
2002-07-29,25.3,,303.5,1368.8,
2002-07-30,26.24,,306,1371.91,
2002-07-31,25.89,,305.2,1358.16,
2002-08-01,25.47,,306,1355.3,
2002-08-02,25.9,,309,1359.99,
2002-08-05,25.26,,309.6,1353.48,
2002-08-06,25.79,,307.3,1368.99,
2002-08-07,25.17,,316.1,1366.8,
2002-08-08,25.51,,312.2,1359.68,
2002-08-09,25.71,,316,1350.31,
2002-08-12,26.27,,315.8,1340.22,
2002-08-13,26.52,,315.9,1342.36,
2002-08-14,26.65,,313.5,1351.51,
2002-08-15,27.48,,316.1,1340.97,
2002-08-16,27.47,,315.4,1349.62,
2002-08-19,27.66,,307.7,1347.16,
2002-08-20,27.27,,310.4,1370.05,
2002-08-21,27.8,,309.3,1370.96,
2002-08-22,27.28,,308.3,1381.55,
2002-08-23,27.14,,308.3,1379.42,
2002-08-26,27.43,,311,1366.18,
2002-08-27,27.14,,313.9,1369.76,
2002-08-28,26.86,,310.9,1368.4,
2002-08-29,27.35,,314.4,1362.67,
2002-08-30,27.49,,313.9,1361.3,
2002-09-02,,,,1362.15,
2002-09-03,26.64,,315,1366.71,
2002-09-04,27.14,,316.5,1358.78,
2002-09-05,27.75,,319.8,1341.47,
2002-09-06,28.33,,321.5,1334.34,
2002-09-09,28.47,,322.8,1323.13,
2002-09-10,28.41,,319.4,1324.21,
2002-09-11,28.55,,318.1,1319.03,
2002-09-12,27.82,,320.4,1322.23,
2002-09-13,28.64,,318.1,1321.81,
2002-09-16,28.5,,318.5,1302.62,
2002-09-17,27.86,,318.2,1304.38,
2002-09-18,28.3,,321.8,1295.56,
2002-09-19,28.54,,323.9,1319.82,
2002-09-20,28.42,,323.2,1305.75,
2002-09-23,29.52,,324.1,1304.92,
2002-09-24,29.16,,327.2,1299.19,
2002-09-25,29.28,,323.6,1299.52,
2002-09-26,29.02,,321.7,1291.38,
2002-09-27,29.01,,321.1,1285.65,
2002-09-30,28.88,,325.2,,
2002-10-01,29.07,,322.2,,
2002-10-02,28.92,,322.8,,
2002-10-03,28.43,,322.4,,
2002-10-04,28.51,,323.3,,
2002-10-07,28.57,,323.1,,
2002-10-08,28.4,,319.4,1272.94,
2002-10-09,28.45,,320.8,1247.53,
2002-10-10,28,,317.4,1241.55,
2002-10-11,28.29,,317.2,1237.14,
2002-10-14,28.85,,318.6,1243.74,
2002-10-15,28.73,,313.4,1238.97,
2002-10-16,28.34,,314.7,1247.72,
2002-10-17,28.61,,312.2,1228.26,
2002-10-18,28.34,,313.3,1233.67,
2002-10-21,27.07,,311.5,1237.36,
2002-10-22,26.56,,313.6,1254.74,
2002-10-23,26.74,,312.6,1255.64,
2002-10-24,26.67,,311.2,1244.56,
2002-10-25,25.96,,313.9,1233.58,
2002-10-28,25.6,,315.6,1219.43,
2002-10-29,25.28,,318.1,1226.78,
2002-10-30,25.37,,316.9,1225.94,
2002-10-31,25.62,,318.4,1225.34,
2002-11-01,25.28,,319.2,1227.85,
2002-11-04,24.99,,318.7,1246.8,
2002-11-05,24.1,,318.6,1265.73,
2002-11-06,23.7,,317.9,1260.05,
2002-11-07,23.47,,320.9,1259.87,
2002-11-08,23.62,,321.7,1232.95,
2002-11-11,23.81,,321.6,1218.36,
2002-11-12,23.72,,324.7,1200.92,
2002-11-13,22.58,,318.9,1206.42,
2002-11-14,22.76,,318.5,1183.64,
2002-11-15,23.05,,320.9,1186.92,
2002-11-18,23.83,,319.4,1174.83,
2002-11-19,23.62,,318.8,1182.64,
2002-11-20,24.17,,317.6,1154.9,
2002-11-21,24.32,,318,1125.38,
2002-11-22,24.86,,320.9,1128.07,
2002-11-25,24.21,,318.4,1133.17,
2002-11-26,24.6,,317.7,1111.05,
2002-11-27,25.24,,316.8,1118.96,
2002-11-28,24.9,,,1150.59,
2002-11-29,25.25,,,1164.62,
2002-12-02,25.86,,,1132.93,
2002-12-03,26.14,,320.7,1144.63,
2002-12-04,25.48,,,1147.54,
2002-12-05,26.27,,325.6,1139.75,
2002-12-06,25.96,,327.1,1139.8,
2002-12-09,26.5,,326.5,1136.25,
2002-12-10,27.02,,324.2,1122.91,
2002-12-11,26.98,,325.5,1117.44,
2002-12-12,27.6,,332.1,1122.23,
2002-12-13,27.89,,333.8,1132.08,
2002-12-16,29.42,,337.6,1141.52,
2002-12-17,28.95,,337.5,1148.6,
2002-12-18,29.88,,342.7,1143.94,
2002-12-19,30.16,,346.5,1145.07,
2002-12-20,30.42,,341,1157.34,
2002-12-23,31.66,,345.1,1159.43,
2002-12-24,31.55,,347.3,1159.06,
2002-12-25,,,,1151.16,
2002-12-26,31.84,,348.9,1119.36,
2002-12-27,31.75,,349.7,1120.28,
2002-12-30,30.37,,344.1,1108.94,
2002-12-31,30.38,,347.6,1103.64,
2003-01-02,31.07,,346.5,1074.98,
2003-01-03,32.48,,351.6,1073.52,
2003-01-06,31.98,,352.1,1084.88,
2003-01-07,30.87,,347.7,1081.62,
2003-01-08,29.49,,354.3,1111.83,
2003-01-09,30.23,,353.7,1132.17,
2003-01-10,30.75,,354.9,1121.58,
2003-01-13,30.95,,355.1,1124.33,
2003-01-14,31.76,,352,1185.87,
2003-01-15,32.03,,351.1,1177.97,
2003-01-16,32.18,,358.6,1196.39,
2003-01-17,31.98,,356.8,1190.9,
2003-01-20,32.33,,,1194.72,
2003-01-21,31.54,,357.5,1172.13,
2003-01-22,31.91,,359.9,1174.57,
2003-01-23,30.74,,365.3,1167.64,
2003-01-24,31.03,,368.4,1187.69,
2003-01-27,30.64,,369.4,1203.33,
2003-01-28,30.69,,370,1206.86,
2003-01-29,31.26,,366.9,1207.6,
2003-01-30,31.45,,369.7,,
2003-01-31,31.75,,369.1,,
2003-02-03,30.98,,371.6,,
2003-02-04,30.92,,379.9,,
2003-02-05,31.35,,377.2,,
2003-02-06,31.91,,370.7,,
2003-02-07,32.31,,370.5,,
2003-02-10,32.02,,364.2,1190.46,
2003-02-11,32.58,,363,1201.29,
2003-02-12,32.38,,353,1214.8,
2003-02-13,33.06,,357.7,1208.84,
2003-02-14,33.4,,352.2,1213.7,
2003-02-17,32.87,,,1204.7,
2003-02-18,33.05,,344.3,1204.94,
2003-02-19,32.91,,350,1216.58,
2003-02-20,32.41,,353.1,1215.15,
2003-02-21,32.08,,351.8,1191.63,
2003-02-24,33.33,,356.4,1192.99,
2003-02-25,33.47,,352.4,1214.85,
2003-02-26,33.51,,354.1,1214.4,
2003-02-27,33.97,,346.2,1215.46,
2003-02-28,34.35,,350.3,1213.86,
2003-03-03,33.4,,349.3,1223.41,
2003-03-04,34.31,,353.3,1222.38,
2003-03-05,34.06,,353.2,1217.89,
2003-03-06,34.66,,356.9,1202.44,
2003-03-07,34.56,,350.9,1198.74,
2003-03-10,34.73,,354.8,1178.15,
2003-03-11,33.95,,350.6,1177.8,
2003-03-12,34.39,,346.6,1182.42,
2003-03-13,34.04,,336,1175.16,
2003-03-14,31.24,,336.6,1177.61,
